ID,Column Name,Justification (optional)
47560,,all null columns
47633,,all null columns
47715,,all null columns
47745,,all null columns
47804,,all null columns
47891,,all null columns
47939,,all null columns
47991,,all null columns
48012,,all null columns
48023,,all null columns
48042,,all null columns
48151,,all null columns
48166,,all null columns
48191,,all null columns
48204,,all null columns
48236,,all null columns
48338,,all null columns
48368,,all null columns
48370,,all null columns
48486,,all null columns
48490,,all null columns
48511,,all null columns
48536,,all null columns
48641,,all null columns
48670,,all null columns
48701,,all null columns
48739,,all null columns
48763,,all null columns
48790,,all null columns
48791,,all null columns
48856,,all null columns
48898,,all null columns
48925,,all null columns
49012,,all null columns
49049,,all null columns
174,Confirmed,negative values
619,Confirmed,negative values
781,Confirmed,negative values
1032,Confirmed,negative values
1155,Confirmed,negative values
1197,Confirmed,negative values
1418,Confirmed,negative values
1504,Confirmed,negative values
1740,Confirmed,negative values
2031,Confirmed,negative values
2107,Confirmed,negative values
2311,Confirmed,negative values
2319,Confirmed,negative values
2733,Confirmed,negative values
2821,Confirmed,negative values
2970,Confirmed,negative values
3202,Confirmed,negative values
3957,Confirmed,negative values
3984,Confirmed,negative values
4117,Confirmed,negative values
4280,Confirmed,negative values
4441,Confirmed,negative values
4695,Confirmed,negative values
4728,Confirmed,negative values
4827,Confirmed,negative values
4871,Confirmed,negative values
5362,Confirmed,negative values
5552,Confirmed,negative values
5834,Confirmed,negative values
5886,Confirmed,negative values
6178,Confirmed,negative values
6203,Confirmed,negative values
6263,Confirmed,negative values
6361,Confirmed,negative values
6530,Confirmed,negative values
6883,Confirmed,negative values
7066,Confirmed,negative values
7083,Confirmed,negative values
7198,Confirmed,negative values
7228,Confirmed,negative values
7429,Confirmed,negative values
7514,Confirmed,negative values
7648,Confirmed,negative values
7863,Confirmed,negative values
8120,Confirmed,negative values
8233,Confirmed,negative values
8241,Confirmed,negative values
8921,Confirmed,negative values
8983,Confirmed,negative values
9117,Confirmed,negative values
9355,Confirmed,negative values
9420,Confirmed,negative values
9557,Confirmed,negative values
